source,target,type
GO:0003700,GO:0006355,part_of
GO:0003712,GO:0060090,is_a
GO:0003924,GO:0016787,is_a
GO:0005085,GO:0030234,is_a
GO:0005200,GO:0007010,part_of
GO:0005730,GO:0005634,part_of
GO:0006281,GO:0006950,is_a
GO:0006457,GO:0051604,part_of
GO:0008168,GO:0016740,is_a
GO:0008233,GO:0016787,is_a
GO:0016298,GO:0016787,is_a
GO:0016301,GO:0016740,is_a
GO:0016746,GO:0016740,is_a
GO:0016757,GO:0016740,is_a
GO:0016765,GO:0016740,is_a
GO:0016773,GO:0016740,is_a
GO:0016779,GO:0016740,is_a
GO:0016791,GO:0016787,is_a
GO:0016798,GO:0016787,is_a
GO:0016810,GO:0016787,is_a
GO:0019787,GO:0016746,is_a
GO:0022857,GO:0055085,part_of
GO:0031012,GO:0030312,is_a
GO:0034587,GO:0006396,is_a
GO:0034587,GO:0031047,part_of
GO:0038024,GO:0016192,part_of
GO:0044183,GO:0006457,part_of
GO:0045202,GO:0030054,is_a
GO:0052689,GO:0016787,is_a
GO:0140223,GO:0006351,part_of
